audio_path,reference_text,language
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_7729.wav,我就有一個問題,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_12284.wav,並通過理論計算,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_5222.wav,在紐約我覺得要生存是非常困難的,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_11757.wav,氣壓系統,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_3938.wav,需要些什麼,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_12322.wav,短到允許地底下有水冰的存在,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_7154.wav,所以其實我一開始創作的前期,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_11534.wav,但將昆蟲磨成粉作為營養補充,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_5317.wav,所以從可可到巧克力變化是很大的,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_4247.wav,他說我會教一輩子,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_14530.wav,沒有誠信的,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_6847.wav,更值得去思考的一些細節,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_10887.wav,以及上下游產業的齊備,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_7850.wav,你就知道說那我要回頭去照顧自己,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_290.wav,那在某些狀態下,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_10429.wav,這個頻率,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_11553.wav,會減少升溫的效果,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_7736.wav,我從來沒有想過剪紙可以當工作,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_8332.wav,第一次對國外有想像,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_12350.wav,如此龐大的星鏈星座網路,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_13237.wav,或是短時間區間內的天氣預報,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_12454.wav,讓吃含肉類廚餘的黑水虻經過脫水後,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_1468.wav,真的很難,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_4744.wav,那對我來講就是可以繼續留在公司,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_4495.wav,那媽媽是小學老師這樣子,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_11127.wav,幫助寶寶度過六歲以前的高風險期,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_14514.wav,支持者,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_12518.wav,這個小生物的卵大約只有一毫米,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_3347.wav,我有皺紋我有,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_2107.wav,可是他們會覺得你是不是吃藥吃多,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_14061.wav,不過除了沒地可用這個原因之外,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_10727.wav,我們還有好幾個招式,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_11156.wav,還沒完,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_11119.wav,一萬年內有噴發紀錄,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_10200.wav,將其他的星系用力向外推開嗎,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_5758.wav,可是我那個時候,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_8780.wav,然後媽媽就指著那個四個字說,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_9855.wav,就能確定今天是出大太陽,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_2303.wav,不方便你們就自己去採買,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_6321.wav,為什麼因為他可能寫出來之後,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_12138.wav,就可以知道宇宙正在加速,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_9712.wav,在相反的電磁場方向下,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_12376.wav,先送進氣化系統,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_1499.wav,因為就覺得嗯很開心,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_185.wav,然後運動之後,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_4424.wav,對那就是我最大的感受就是,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_4515.wav,大家都開始一窩蜂地去,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_12126.wav,太陽能是再生能源中發展最快的,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_6046.wav,對我來說是一個很新鮮的嘗試,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_1056.wav,後來就是真的每次上課就煎熬,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_5393.wav,妳是不是嚴重營養不良,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_7271.wav,我們不能讓社會的人覺得哇,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_1823.wav,送出這個花,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_9928.wav,站在原地就好了,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_12252.wav,就能給我們莫大的支持與力量,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_2659.wav,我就趕快報警,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_4929.wav,可是小時候不知道那個是,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_7565.wav,這樣的事情我也是沒有想到也不期待,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_9746.wav,換成了吸收效能更好的醋酸鉀,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_12261.wav,一樣可以算出宇宙膨脹的速度,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_10631.wav,而低軌道衛星,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_5643.wav,因為人的那個心態是很反動的,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_4344.wav,那等到放榜的時候,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_10864.wav,尤其是大屯火山群四磺子坪範圍內,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_14231.wav,為什麼開這場直播,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_7839.wav,我只是一個聽話做事的人這樣,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_2077.wav,我就說我老師我的裙子不見了,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_9267.wav,我其實就會做一個這樣小的模型,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_13210.wav,就把電池矽晶片連同玻璃,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_2068.wav,我就是那個極端就是完全不會社交,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_674.wav,鏡頭前在看影片的人,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_1702.wav,然後他就開始想細節,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_9510.wav,還是無法完全滿足持續成長的需求,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_3294.wav,他就心情越來越差,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_8814.wav,跟你的身分你的角色沒有關,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_7804.wav,所以我們不只跟外面的人說謝謝,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_12662.wav,而且微波的波長,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_6747.wav,比方說包含像西班牙奧地利,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_9477.wav,或發電廠的電磁場吧,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_3138.wav,那其他的時間,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_4526.wav,那我就是非常喜歡這樣的一個過程,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_6294.wav,可是他們的王權,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_9318.wav,那我能幹嘛呢,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_6204.wav,是挺爽的,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_8725.wav,但其實說故事才是我真實的渴望,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_3472.wav,那也沒有對花藝不瞭解,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_7634.wav,原來所謂的承擔,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_12801.wav,反而變得更嚴重了,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_376.wav,新聞台一定都出動要去採訪了,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_533.wav,很緊張那時候的狀態,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_5162.wav,妳不屬於其他商學院,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_6532.wav,可以跟一些不同的人交談,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_2796.wav,我就會跟他說哦我是一個,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_7428.wav,你去多接觸那些精緻的講究的,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_11626.wav,這對也不對,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_1579.wav,因為他可以跑可以跳可以尖叫可以笑,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_12569.wav,太陽能跟風力這些再生能源,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_13382.wav,但地熱可是很挑的,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_2939.wav,就是每個人都在罵精神病患者,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_10927.wav,所以當你關上門之後,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_6533.wav,你可以去看很多所謂的富二代跟小開,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_13961.wav,傳送速率反而有可能更快,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_10787.wav,利用系集式方法,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_2387.wav,我算是有覺得自己有找到那個平衡點,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_670.wav,跟小孩之間真的是,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_9976.wav,部分地區損失最高甚至高達五成,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_13929.wav,以及安特羅兩家公司,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_8816.wav,用盡全力去探索我自己,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_7040.wav,或是泥瓦匠,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_7811.wav,所以我媽媽說,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_8452.wav,一起生活,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_12070.wav,潛艇真的還能保持隱形嗎,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_6912.wav,那這個我想是千古的難題吧,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_10055.wav,要製造更快的脈衝,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_7672.wav,我是從小被打被罵被看不起的,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_3551.wav,所以另外開的這個頻道,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_9872.wav,血液及尿液的樣本,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_14086.wav,是不用拆,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_3470.wav,週轉不過去怎麼辦,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_413.wav,或是很多的運動,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_8609.wav,某方面來講,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_7214.wav,最難生存跟生活的地方,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_7828.wav,我覺得不是,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_13598.wav,這些星系竟然正在遠離我們而去,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_2527.wav,什麼都有一直到什麼都沒有這樣,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_2796.wav,我就會跟他說哦我是一個,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_4119.wav,不會受到年齡限制的,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_9452.wav,或是把扇葉塗黑的方式,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_9286.wav,可以怎麼樣順水推舟,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_348.wav,那有些人他可能是不好的事情,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_13949.wav,我們就能無所不知呢,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_7783.wav,最後大家都推到遠方孤單,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_6271.wav,二方面是因為,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_7923.wav,可以成為養家活口的方式呢,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_7078.wav,的那種氣派,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_1954.wav,即將在這裡與大家見面,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_9771.wav,同時,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_3129.wav,花藝老師這段期間,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_12646.wav,這集感謝新北市政府環保局的贊助,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_9525.wav,如果你對這些細節很好奇,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_13432.wav,我們之前的節目有過詳細的介紹,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_2871.wav,就因為他跟你不一樣,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_7285.wav,有聽過這樣嗎,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_8206.wav,成為媽媽的肩膀,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_12341.wav,再封存到地底之下,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_3574.wav,用這樣的規劃,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_5100.wav,還要再浪費時間跟金錢,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_1859.wav,我就覺得說那,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_9243.wav,而且我已經做好心理準備了,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_9052.wav,你的未來可能,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_10571.wav,那麼當台灣的對外海底電纜斷了,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_14427.wav,孰不可忍,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_9839.wav,與接收到聲波的時間差,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_4009.wav,可是當初我在那邊真的,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_3570.wav,工作做好就沒你的事了,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_6977.wav,寫書這件事情是一個例外,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_8499.wav,他是一個出口,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_1595.wav,就用那個比較玩笑的方法這樣跟我講,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_3639.wav,創作歌手可能例如周杰倫,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_2894.wav,我就是一個比較偏憂鬱偏孤僻的人,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_972.wav,那時候我就真的有非常認真去思考,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_7615.wav,很愛很愛,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_4936.wav,然後那時候不知道我哪裡不一樣,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_12656.wav,在如同沙漏般的大反應爐中,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_8827.wav,創作的媒材是很昂貴的嗎,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_13284.wav,都是扇面垂直於地面,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_8160.wav,一定要學會面對情感跟表達情感,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_7296.wav,我會用盡全力,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_12457.wav,甚至現今沒有任何儀器能偵測到它的存在,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_7420.wav,因為都有這樣子的生活跟成長經驗了,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_5016.wav,你就不會在乎很多瑣碎的細節,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_11669.wav,我們再來好好討論,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_2966.wav,我覺得沒有人經歷過他經歷的事情,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_3401.wav,就是你沒有自己的時間自己的人生,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_1047.wav,如果你太歪我心情也會不好啊,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_2824.wav,我們不會在花凋零了,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_9268.wav,人都有共同的需求,zh-tw
