audio_path,reference_text,language,condition,speaker,gender,sentence_id
../acp_drp/C5_acp/female/acp_021.wav,葉克膜對我這個年紀的人還適合嗎？,zh-tw,C5,classmate_b,female,021
../acp_drp/C5_acp/female/acp_022.wav,我想預先說明，不要心肺復甦術。,zh-tw,C5,classmate_b,female,022
../acp_drp/C5_acp/female/acp_023.wav,醫療委任代理人要怎麼選？,zh-tw,C5,classmate_b,female,023
../acp_drp/C5_acp/female/acp_024.wav,安寧緩和跟放棄治療是不一樣的對嗎？,zh-tw,C5,classmate_b,female,024
../acp_drp/C5_acp/female/acp_025.wav,簽署預立醫療決定需要見證人嗎？,zh-tw,C5,classmate_b,female,025
../acp_drp/C5_acp/female/acp_026.wav,如果我昏迷了，誰可以替我做決定？,zh-tw,C5,classmate_b,female,026
../acp_drp/C5_acp/female/acp_027.wav,我不想要鼻胃管，但喝水可以嗎？,zh-tw,C5,classmate_b,female,027
../acp_drp/C5_acp/female/acp_028.wav,洗腎做久了身體會不會更累？,zh-tw,C5,classmate_b,female,028
../acp_drp/C5_acp/female/acp_029.wav,我想了解預立醫療照護諮商的流程。,zh-tw,C5,classmate_b,female,029
../acp_drp/C5_acp/female/acp_030.wav,家人意見跟我的意願不一樣怎麼辦？,zh-tw,C5,classmate_b,female,030
../acp_drp/C5_acp/female/acp_031.wav,到了臨終階段，我希望能待在自己房間。,zh-tw,C5,classmate_b,female,031
../acp_drp/C5_acp/female/acp_032.wav,我同意簽這份意願書。,zh-tw,C5,classmate_b,female,032
../acp_drp/C5_acp/female/acp_033.wav,急救之後如果變成植物人，我不要。,zh-tw,C5,classmate_b,female,033
../acp_drp/C5_acp/female/acp_034.wav,緩和醫療可以減輕疼痛嗎？,zh-tw,C5,classmate_b,female,034
../acp_drp/C5_acp/female/acp_035.wav,我想把醫療決定權交給我的配偶。,zh-tw,C5,classmate_b,female,035
../acp_drp/C5_acp/female/acp_036.wav,插管之後還有機會拔掉自己呼吸嗎？,zh-tw,C5,classmate_b,female,036
../acp_drp/C5_acp/female/acp_037.wav,末期癌症可以做安寧緩和嗎？,zh-tw,C5,classmate_b,female,037
../acp_drp/C5_acp/female/acp_038.wav,我拒絕氣切，但願意使用氧氣。,zh-tw,C5,classmate_b,female,038
../acp_drp/C5_acp/female/acp_039.wav,預立醫療決定跟遺囑有什麼不同？,zh-tw,C5,classmate_b,female,039
../acp_drp/C5_acp/female/acp_040.wav,我想跟醫師討論 DNR 的細節。,zh-tw,C5,classmate_b,female,040
../acp_drp/C5_acp/female/acp_041.wav,如果病情惡化，我選擇舒適照護。,zh-tw,C5,classmate_b,female,041
../acp_drp/C5_acp/female/acp_042.wav,維生醫療包括哪些項目？,zh-tw,C5,classmate_b,female,042
../acp_drp/C5_acp/female/acp_043.wav,我希望在家裡走完最後一程。,zh-tw,C5,classmate_b,female,043
../acp_drp/C5_acp/female/acp_044.wav,病人自主權利法什麼時候開始實施的？,zh-tw,C5,classmate_b,female,044
../acp_drp/C5_acp/female/acp_045.wav,我願意接受輸血，但不接受洗腎。,zh-tw,C5,classmate_b,female,045
../acp_drp/C5_acp/female/acp_046.wav,抗生素用太多會不會有副作用？,zh-tw,C5,classmate_b,female,046
../acp_drp/C5_acp/female/acp_047.wav,我想放棄無效的急救措施。,zh-tw,C5,classmate_b,female,047
../acp_drp/C5_acp/female/acp_048.wav,醫療委任代理人可以同時有兩個人嗎？,zh-tw,C5,classmate_b,female,048
../acp_drp/C5_acp/female/acp_049.wav,簽了預立醫療決定，醫院會遵守嗎？,zh-tw,C5,classmate_b,female,049
../acp_drp/C5_acp/female/acp_050.wav,我想跟全家人一起討論我的末期照護計畫。,zh-tw,C5,classmate_b,female,050
