audio_path,reference_text,language
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_7729.wav,我就有一個問題,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_12284.wav,並通過理論計算,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_5222.wav,在紐約我覺得要生存是非常困難的,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_11757.wav,氣壓系統,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_3938.wav,需要些什麼,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_12322.wav,短到允許地底下有水冰的存在,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_7154.wav,所以其實我一開始創作的前期,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_11534.wav,但將昆蟲磨成粉作為營養補充,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_5317.wav,所以從可可到巧克力變化是很大的,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_4247.wav,他說我會教一輩子,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_14530.wav,沒有誠信的,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_6847.wav,更值得去思考的一些細節,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_10887.wav,以及上下游產業的齊備,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_7850.wav,你就知道說那我要回頭去照顧自己,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_290.wav,那在某些狀態下,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_10429.wav,這個頻率,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_11553.wav,會減少升溫的效果,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_7736.wav,我從來沒有想過剪紙可以當工作,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_8332.wav,第一次對國外有想像,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_12350.wav,如此龐大的星鏈星座網路,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_13237.wav,或是短時間區間內的天氣預報,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_12454.wav,讓吃含肉類廚餘的黑水虻經過脫水後,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_female_trad\trad_1468.wav,真的很難,zh-tw
E:\data\22k_corpus\trandition_zh\azure_synthesis_with_vad\22khz_male_trad\trad_4744.wav,那對我來講就是可以繼續留在公司,zh-tw
